hero_id,name,urlslug,note_1,note_2,identity,alive,appearances,first_appearance_month,first_appearance_year
1127,Balder Odinson ,\/Balder_Odinson_(Earth-616),Earth-616,,secret,deceased,403,,1962
1128,Angelo Baldini ,\/Angelo_Baldini_(Earth-616),Earth-616,,,living,17,June,1968
1129,Balor ,\/Balor_(Earth-616),Earth-616,,,living,6,November,1982
1130,Elizabeth Ross ,\/Elizabeth_Ross_(Earth-616),Earth-616,,public,living,446,May,1962
1131,Sean Cassidy ,\/Sean_Cassidy_(Earth-616),Earth-616,,secret,living,374,January,1967
1133,Baphomet ,\/Baphomet_(Earth-616),Earth-616,,,living,6,May,1974
1134,Barbarus ,\/Barbarus_(Earth-616),Earth-616,,secret,living,40,November,1969
1135,John Falsworth ,\/John_Falsworth_(Earth-616),Earth-616,,secret,deceased,44,,1976
1136,Walther Theodoric ,\/Walther_Theodoric_(Earth-616),Earth-616,,,living,7,August,1980
1137,Baron Macabre ,\/Baron_Macabre_(Earth-616),Earth-616,,secret,living,5,May,1974
1138,Karl Mordo ,\/Karl_Mordo_(Earth-616),Earth-616,,secret,deceased,100,,1963
1139,Baron Samedi ,\/Baron_Samedi_(AIM)_(Earth-616),AIM ,Earth-616,,living,3,December,1973
1140,Wolfgang von Strucker ,\/Wolfgang_von_Strucker_(Earth-616),Earth-616,,public,deceased,164,,1964
1141,Heinrich Zemo ,\/Heinrich_Zemo_(Earth-616),Earth-616,,public,deceased,115,,1964
1142,Helmut Zemo ,\/Helmut_Zemo_(Earth-616),Earth-616,,public,living,184,December,1973
1143,Barrage ,\/Barrage_(Earth-616),Earth-616,,,deceased,14,,1991
1146,Georges Batroc ,\/Georges_Batroc_(Earth-616),Earth-616,,single,living,119,March,1966
1147,Battering Ram ,\/Battering_Ram_(Earth-616),Earth-616,,secret,deceased,5,,2001
1148,Lemar Hoskins ,\/Lemar_Hoskins_(Earth-616),Earth-616,,secret,living,87,November,1986
1149,Barnell Bohusk ,\/Barnell_Bohusk_(Earth-616),Earth-616,,secret,living,74,October,2001
1151,William Nowlan ,\/William_Nowlan_(Earth-616),Earth-616,,secret,living,7,November,1987
1152,Buford Wilson ,\/Buford_Wilson_(Earth-616),Earth-616,,secret,deceased,17,,1991
1154,Behemoth ,\/Behemoth_(Atlantean_Beast)_(Earth-616),Atlantean Beast ,Earth-616,,living,5,March,1966
1155,Belasco ,\/Belasco_(Earth-616),Earth-616,,secret,living,43,Feburary,1982
1156,Belathauzer ,\/Belathauzer_(Earth-616),Earth-616,,secret,living,9,May,1978
1158,Narda Ravanna ,\/Narda_Ravanna_(Earth-616),Earth-616,,public,living,4,June,1980
1161,Ben Urich ,\/Ben_Urich_(Earth-616),Earth-616,,single,living,324,July,1978
1162,Bereet ,\/Bereet_(Earth-616),Earth-616,,single,living,17,March,1982
1163,Beta Ray Bill ,\/Beta_Ray_Bill_(Earth-616),Earth-616,,single,living,153,November,1983
1165,Bethany Cabe ,\/Bethany_Cabe_(Earth-616),Earth-616,,single,living,98,December,1978
1166,Fabian Marechal-Julbin ,\/Fabian_Marechal-Julbin_(Earth-616),Earth-616,,secret,deceased,16,,1991
1167,Beyonder ,\/Beyonder_(Earth-616),Earth-616,,secret,living,81,May,1984
1168,Bi-Beast ,\/Bi-Beast_(Earth-616),Earth-616,,public,deceased,8,,1973
1169,Bi-Beast ,\/Bi-Beast_(Duplicate)_(Earth-616),Duplicate ,Earth-616,secret,living,26,August,1977
1173,Bird-Brain ,\/Bird-Brain_(Earth-616),Earth-616,,single,living,15,October,1987
1174,Henry Hawk ,\/Henry_Hawk_(Earth-616),Earth-616,,secret,deceased,26,,1965
1175,Achille DiBacco ,\/Achille_DiBacco_(Earth-616),Earth-616,,secret,deceased,14,,1979
1176,Birdy ,\/Birdy_(Earth-616),Earth-616,,secret,deceased,6,,1992
1178,Harry Leland ,\/Harry_Leland_(Earth-616),Earth-616,,secret,deceased,29,,1980
1179,Blackagar Boltagon ,\/Blackagar_Boltagon_(Earth-616),Earth-616,,single,living,366,December,1965
1180,Felicia Hardy ,\/Felicia_Hardy_(Earth-616),Earth-616,,public,living,332,July,1979
1181,Jesse Black Crow ,\/Jesse_Black_Crow_(Earth-616),Earth-616,,secret,living,20,April,1984
1182,Black Fox ,\/Black_Fox_(Thief)_(Earth-616),Thief ,Earth-616,secret,living,25,August,1984
1183,William Foster ,\/William_Foster_(Earth-616),Earth-616,,secret,deceased,100,,1966
1184,Sebastian Shaw ,\/Sebastian_Shaw_(Earth-616),Earth-616,,single,living,174,January,1980
1185,Sir Percy of Scandia ,\/Sir_Percy_of_Scandia_(Earth-616),Earth-616,,public,deceased,50,,1955
1187,Dane Whitman ,\/Dane_Whitman_(Earth-616),Earth-616,,secret,living,478,December,1967
1189,Tanya Sealy ,\/Tanya_Sealy_(Earth-616),Earth-616,,secret,living,69,June,1980
1190,T'Challa ,\/T%27Challa_(Earth-616),Earth-616,,public,living,,July,1966
1193,Carson Knowles ,\/Carson_Knowles_(Earth-616),Earth-616,,,deceased,13,,1982
1195,Desmond Drew ,\/Desmond_Drew_(Earth-616),Earth-616,,secret,living,11,April,1974
1197,Thomas Cassidy ,\/Thomas_Cassidy_(Earth-616),Earth-616,,public,living,75,June,1976
1199,Yelena Belova ,\/Yelena_Belova_(Earth-616),Earth-616,,secret,deceased,37,,1999
1200,Amanda Mueller ,\/Amanda_Mueller_(Earth-616),Earth-616,,secret,deceased,9,,2000
1202,Marcus Daniels ,\/Marcus_Daniels_(Earth-616),Earth-616,,public,living,28,May,1978
1203,Joseph Manfredi ,\/Joseph_Manfredi_(Earth-616),Earth-616,,secret,living,25,Feburary,1975
1204,Eric Brooks ,\/Eric_Brooks_(Earth-616),Earth-616,,public,living,194,July,1973
1205,Eric Brooks ,\/Eric_Brooks_(Doppelganger)_(Earth-616),Doppelganger ,Earth-616,public,living,5,September,1976
1207,Blastaar ,\/Blastaar_(Earth-616),Earth-616,,secret,living,96,May,1967
1210,Blindside ,\/Blindside_(Brood)_(Earth-616),Brood ,Earth-616,secret,deceased,3,,1988
1212,Franz Mittelstaedt ,\/Franz_Mittelstaedt_(Earth-616),Earth-616,,secret,deceased,8,,1982
1213,Gregor Shapanka ,\/Gregor_Shapanka_(Earth-616),Earth-616,,secret,deceased,20,,1963
1214,Donald Gill ,\/Donald_Gill_(Earth-616),Earth-616,,public,living,73,October,1987
1215,Frederick Dukes ,\/Frederick_Dukes_(Earth-616),Earth-616,,public,living,194,January,1964
1217,Mickey Tork ,\/Mickey_Tork_(Earth-616),Earth-616,,public,deceased,3,,2001
1218,Jackie Lukus ,\/Jackie_Lukus_(Earth-616),Earth-616,,public,living,38,June,1988
1219,Bloodscream ,\/Bloodscream_(Earth-616),Earth-616,,secret,living,25,Feburary,1989
1220,Ulysses Bloodstone ,\/Ulysses_Bloodstone_(Earth-616),Earth-616,,secret,deceased,47,,1960
1221,Johann Goldstein ,\/Johann_Goldstein_(Earth-616),Earth-616,,,living,6,December,1976
1222,Joseph Cartelli ,\/Joseph_Cartelli_(Earth-616),Earth-616,,secret,living,20,July,1981
1223,Don Thomas ,\/Don_Thomas_(Earth-616),Earth-616,,secret,deceased,15,,1978
1224,Bonebreaker ,\/Bonebreaker_(Earth-616),Earth-616,,secret,living,32,May,1988
1226,Frederick Myers ,\/Frederick_Myers_(Earth-616),Earth-616,,secret,living,157,July,1966
1229,Roger Bochs ,\/Roger_Bochs_(Earth-616),Earth-616,,secret,deceased,49,,1983
1232,Madison Jeffries ,\/Madison_Jeffries_(Earth-616),Earth-616,,single,living,193,August,1983
1233,James Braddock Jr. ,\/James_Braddock_Jr._(Earth-616),Earth-616,,single,deceased,56,,1976
1235,Brainchild ,\/Brainchild_(Earth-616),Earth-616,,,living,37,November,1969
1236,Werner Schmidt ,\/Werner_Schmidt_(Brain_Drain)_(Earth-616),Brain Drain ,Earth-616,secret,deceased,18,,1975
1237,Lucas Brand ,\/Lucas_Brand_(Earth-616),Earth-616,,secret,living,12,June,1973
1238,Bres ,\/Bres_(Earth-616),Earth-616,,secret,living,3,November,1982
1239,Brickbat ,\/Brickbat_(Earth-616),Earth-616,,secret,deceased,2,,1988
1240,George Washington Bridge ,\/George_Washington_Bridge_(Earth-616),Earth-616,,secret,deceased,91,,1991
1241,Brona ,\/Brona_(Earth-616),Earth-616,,secret,living,8,August,1967
1242,Broop ,\/Broop_(Earth-616),Earth-616,,,living,2,September,1976
1243,Tode ,\/Tode_(Earth-616),Earth-616,,single,living,17,July,1976
1244,Jericho Drumm ,\/Jericho_Drumm_(Earth-616),Earth-616,,public,deceased,96,,1973
1245,Percy & Barton Grimes ,\/Percy_%26_Barton_Grimes_(Earth-616),Earth-616,,secret,living,,October,1984
1248,Brutacus ,\/Brutacus_(Earth-616),Earth-616,,secret,living,13,September,1977
1249,Reed Richards ,\/Reed_Richards_(Counter-Earth)_(Earth-616),Counter-Earth ,Earth-616,,living,20,May,1972
1250,Brynocki ,\/Brynocki_(Earth-616),Earth-616,,single,living,13,November,1975
1252,Fred Davis Jr. ,\/Fred_Davis_Jr._(Earth-616),Earth-616,,secret,deceased,81,,1945
1254,Henry Camp ,\/Henry_Camp_(Earth-616),Earth-616,,public,deceased,119,,1974
1255,Buck Cashman ,\/Buck_Cashman_(Earth-616),Earth-616,,secret,living,18,January,1988
1256,Bullseye ,\/Bullseye_(Lester)_(Earth-616),Lester ,Earth-616,secret,living,277,March,1976
1257,Burke ,\/Burke_(Earth-616),Earth-616,,secret,living,2,May,1992
1258,Byron Calley ,\/Byron_Calley_(Earth-616),Earth-616,,secret,living,19,November,1977
1259,Raoul Bushman ,\/Raoul_Bushman_(Earth-616),Earth-616,,public,living,34,November,1980
1260,Quincy McIver ,\/Quincy_McIver_(Earth-616),Earth-616,,secret,living,39,October,1985
1261,Carl Burbank ,\/Carl_Burbank_(Earth-616),Earth-616,,secret,living,35,December,1987
1262,Byrrah ,\/Byrrah_(Earth-616),Earth-616,,public,living,41,August,1954
1264,Franz Cadavus ,\/Franz_Cadavus_(Earth-616),Earth-616,,,living,18,June,1968
1265,Luke Cage ,\/Luke_Cage_(Earth-616),Earth-616,,single,living,856,June,1972
1266,Cagliostro ,\/Cagliostro_(O-Bengh)_(Earth-616),O-Bengh ,Earth-616,secret,living,11,March,1974
1267,Caliban ,\/Caliban_(Earth-616),Earth-616,,secret,deceased,127,,1981
1268,Callisto ,\/Callisto_(Earth-616),Earth-616,,secret,living,114,May,1983
1269,Calypso Ezili ,\/Calypso_Ezili_(Earth-616),Earth-616,,public,deceased,22,,1980
1270,Cameron Hodge ,\/Cameron_Hodge_(Earth-616),Earth-616,,public,deceased,72,,1986
1272,Jack Kleveno ,\/Jack_Kleveno_(Earth-616),Earth-616,,secret,deceased,16,,1970
1273,Cancer ,\/Cancer_(LMD)_(Earth-616),LMD ,Earth-616,secret,living,7,July,1977
1274,Candra ,\/Candra_(Earth-616),Earth-616,,secret,deceased,23,,1993
1275,Jack Pulver ,\/Jack_Pulver_(Earth-616),Earth-616,,secret,living,47,September,1962
1276,Samuel Guthrie ,\/Samuel_Guthrie_(Earth-616),Earth-616,,secret,living,657,November,1982
1277,Willard Weir ,\/Willard_Weir_(Earth-616),Earth-616,,,living,16,January,1970
1284,Captain Barracuda ,\/Captain_Barracuda_(Earth-616),Earth-616,,public,living,12,May,1964
1285,Brian Braddock ,\/Brian_Braddock_(Earth-616),Earth-616,,public,living,528,October,1976
1286,Jebediah Fate ,\/Jebediah_Fate_(Earth-616),Earth-616,,secret,living,11,January,1975
1287,Genis-Vell ,\/Genis-Vell_(Earth-616),Earth-616,,public,deceased,147,,1993
1289,Mar-Vell ,\/Mar-Vell_(Earth-616),Earth-616,,public,deceased,245,,1967
1290,Nathaniel Omen ,\/Nathaniel_Omen_(Earth-616),Earth-616,,single,living,5,June,1973
1291,Griffin Gogol ,\/Griffin_Gogol_(Earth-616),Earth-616,,secret,living,24,December,1976
1292,Captain Universe ,\/Captain_Universe_(Earth-616),Earth-616,,secret,living,54,August,1979
1293,Roger Dicken ,\/Roger_Dicken_(Earth-616),Earth-616,,secret,living,7,March,1977
1294,Elias Wirtham ,\/Elias_Wirtham_(Earth-616),Earth-616,,public,living,37,December,1990
1299,Margaret Carter ,\/Margaret_Carter_(Earth-616),Earth-616,,public,deceased,97,,1966
1300,Sharon Carter ,\/Sharon_Carter_(Earth-616),Earth-616,,public,living,332,March,1966
1301,Shirlee Bryant ,\/Shirlee_Bryant_(Earth-616),Earth-616,,secret,deceased,3,,1972
1302,Townshend Horgan ,\/Townshend_Horgan_(Earth-616),Earth-616,,secret,deceased,27,,1965
1303,Sharon Smith ,\/Sharon_Smith_(Earth-616),Earth-616,,secret,deceased,32,,1984
1304,Cecilia Reyes ,\/Cecilia_Reyes_(Earth-616),Earth-616,,single,living,74,June,1997
1308,Clifford Michaels ,\/Clifford_Michaels_(Earth-616),Earth-616,,secret,deceased,9,,1980
1309,Cerberus ,\/Cerberus_(Earth-616),Earth-616,,,living,21,July,1966
1310,Cerise ,\/Cerise_(Earth-616),Earth-616,,secret,living,46,January,1992
1311,Cethlann ,\/Cethlann_(Earth-616),Earth-616,,secret,living,3,November,1982
1312,Ch'od ,\/Ch%27od_(Earth-616),Earth-616,,single,living,,April,1977
1314,Robert Hao ,\/Robert_Hao_(Earth-616),Earth-616,,,living,5,October,1976
1315,Jonothon Starsmore ,\/Jonothon_Starsmore_(Earth-616),Earth-616,,secret,living,187,November,1994
1316,Dmitri Smerdyakov ,\/Dmitri_Smerdyakov_(Earth-616),Earth-616,,secret,living,146,March,1963
1317,Tryco Slatterus ,\/Tryco_Slatterus_(Earth-616),Earth-616,,secret,living,36,October,1982
1318,Nicholas Powell ,\/Nicholas_Powell_(Earth-616),Earth-616,,secret,living,20,June,1986
1319,Chance ,\/Chance_(Fallen_Angels)_(Earth-616),Fallen Angels ,Earth-616,secret,living,12,April,1987
1320,Changeling ,\/Changeling_(Earth-616),Earth-616,,secret,deceased,36,,1967
1321,Charles Burlingame ,\/Charles_Burlingame_(Earth-616),Earth-616,,secret,deceased,41,,1998
1323,Esteban Carracus ,\/Esteban_Carracus_(Earth-616),Earth-616,,public,deceased,9,,1977
1324,Curtis Carr ,\/Curtis_Carr_(Earth-616),Earth-616,,secret,living,24,August,1973
1325,Arch Morton ,\/Arch_Morton_(Earth-616),Earth-616,,,living,7,November,1976
1326,Calvin Carr ,\/Calvin_Carr_(Earth-616),Earth-616,,secret,deceased,29,,1983
1327,Lila Cheney ,\/Lila_Cheney_(Earth-616),Earth-616,,public,living,68,November,1984
1328,Chief Examiner ,\/Chief_Examiner_(Earth-616),Earth-616,,secret,living,10,August,1984
1329,Jun Ching ,\/Jun_Ching_(Earth-616),Earth-616,,,living,16,June,1968
1330,Harvey Schlemerman ,\/Harvey_Schlemerman_(Earth-616),Earth-616,,secret,living,28,May,1960
1331,Allen Marc Yuric ,\/Allen_Marc_Yuric_(Earth-616),Earth-616,,secret,deceased,9,,1991
1332,Chthon ,\/Chthon_(Earth-616),Earth-616,,secret,living,30,October,1975
1333,John Watkins ,\/John_Watkins_(Earth-616),Earth-616,,public,deceased,8,,1942
1334,William Knoblach ,\/William_Knoblach_(Earth-616),Earth-616,,secret,living,3,July,2000
1335,Clea ,\/Clea_(Earth-616),Earth-616,,single,living,247,November,1964
1336,Tyrone Johnson ,\/Tyrone_Johnson_(Earth-616),Earth-616,,secret,living,226,March,1982
1337,Cloud ,\/Cloud_(Earth-616),Earth-616,,secret,living,31,September,1983
1338,Eliot Franklin ,\/Eliot_Franklin_(Clown)_(Earth-616),Clown ,Earth-616,public,living,55,September,1962
1339,Coach ,\/Coach_(Earth-616),Earth-616,,secret,deceased,7,,2001
1340,Ralph Roberts ,\/Ralph_Roberts_(Earth-616),Earth-616,,secret,deceased,21,,1967
1341,Klaus Voorhees ,\/Klaus_Voorhees_(Earth-616),Earth-616,,public,living,89,November,1963
1342,"Han, Chang, Lin, Sun, and Ho Tao-Yu ","\/Han,_Chang,_Lin,_Sun,_and_Ho_Tao-Yu_(Earth-616)",Earth-616,,secret,living,25,August,1980
1344,Colleen Wing ,\/Colleen_Wing_(Earth-616),Earth-616,,public,living,175,November,1974
1345,Russell Collins ,\/Russell_Collins_(Earth-616),Earth-616,,public,deceased,78,,1986
1346,Piotr Rasputin ,\/Piotr_Rasputin_(Earth-616),Earth-616,,secret,living,1162,May,1975
1347,Harris Moore ,\/Harris_Moore_(Earth-616),Earth-616,,secret,deceased,14,,1978
1348,Stephen Beckley ,\/Stephen_Beckley_(Earth-616),Earth-616,,public,living,19,Feburary,1987
1349,Commander Kraken ,\/Commander_Kraken_(Earth-616),Earth-616,,secret,deceased,12,,1970
1350,Frank Bohannan ,\/Frank_Bohannan_(Earth-616),Earth-616,,secret,deceased,35,,1987
1352,Frank Payne ,\/Frank_Payne_(Earth-616),Earth-616,,secret,living,134,June,1977
1353,Tath Ki ,\/Tath_Ki_(Earth-616),Earth-616,,secret,living,28,June,1976
1354,Valentina Allegra de Fontaine ,\/Valentina_Allegra_de_Fontaine_(Earth-616),Earth-616,,secret,living,176,August,1967
1355,Basil Sandhurst ,\/Basil_Sandhurst_(Earth-616),Earth-616,,secret,living,67,April,1969
1356,Valerie Cooper ,\/Valerie_Cooper_(Earth-616),Earth-616,,public,living,225,December,1983
1357,Davis Lawfers ,\/Davis_Lawfers_(Earth-616),Earth-616,,secret,living,12,January,1988
1358,Vanessa Carlysle ,\/Vanessa_Carlysle_(Earth-616),Earth-616,,secret,living,53,Feburary,1991
1359,Coral ,\/Coral_(Earth-616),Earth-616,,public,living,3,December,1972
1360,Jackson Day ,\/Jackson_Day_(Earth-616),Earth-616,,secret,living,43,December,1976
1361,Christopher Summers ,\/Christopher_Summers_(Earth-616),Earth-616,,public,living,110,April,1977
1362,Thomas Corsi ,\/Thomas_Corsi_(Earth-616),Earth-616,,single,living,28,September,1984
1363,Fabian Cortez ,\/Fabian_Cortez_(Earth-616),Earth-616,,public,deceased,49,,1991
1365,Luchino Nefaria ,\/Luchino_Nefaria_(Earth-616),Earth-616,,public,living,65,Feburary,1965
1367,Graydon Creed ,\/Graydon_Creed_(Earth-616),Earth-616,,single,deceased,52,,1993
1368,Frank Moore ,\/Frank_Moore_(Earth-616),Earth-616,,secret,deceased,13,,1977
1369,Eugene Mason ,\/Eugene_Mason_(Earth-616),Earth-616,,secret,deceased,5,,1984
1371,Anton Vanko ,\/Anton_Vanko_(Crimson_Dynamo)_(Earth-616),Crimson Dynamo ,Earth-616,secret,deceased,13,,1963
1372,Alex Nevsky ,\/Alex_Nevsky_(Earth-616),Earth-616,,secret,deceased,18,,1969
1373,Yuri Petrovitch ,\/Yuri_Petrovitch_(Earth-616),Earth-616,,secret,living,10,August,1976
1375,Valentin Shatalov ,\/Valentin_Shatalov_(Earth-616),Earth-616,,secret,living,11,April,1990
1376,Crule ,\/Crule_(Earth-616),Earth-616,,secret,deceased,8,,1992
1377,Arthur Blackwood ,\/Arthur_Blackwood_(Earth-616),Earth-616,,secret,living,16,April,1983
1379,Crusher ,\/Crusher_(Agent_of_Pluto)_(Earth-616),Agent of Pluto ,Earth-616,secret,living,2,July,1966
1380,Crystalia Amaquelin ,\/Crystalia_Amaquelin_(Earth-616),Earth-616,,public,living,512,December,1965
1381,Cybele ,\/Cybele_(Earth-616),Earth-616,,secret,living,9,October,1985
1382,Silas Burr ,\/Silas_Burr_(Earth-616),Earth-616,,secret,deceased,43,,1991
1386,Douglas Ramsey ,\/Douglas_Ramsey_(Earth-616),Earth-616,,secret,living,181,March,1984
1387,D'Ken Neramani ,\/D%27Ken_Neramani_(Earth-616),Earth-616,,public,living,,Feburary,1976
1388,D'Spayre ,\/D%27Spayre_(Earth-616),Earth-616,,secret,living,,April,1978
1389,Tandy Bowen ,\/Tandy_Bowen_(Earth-616),Earth-616,,secret,living,222,March,1982
1390,Dagoth ,\/Dagoth_(Earth-616),Earth-616,,,living,6,March,1973
1391,Dakimh ,\/Dakimh_(Earth-616),Earth-616,,,deceased,18,,1973
1392,Damballah ,\/Damballah_(Demon)_(Earth-616),Demon ,Earth-616,,living,5,October,1976
1394,Dansen Macabre ,\/Dansen_Macabre_(Earth-616),Earth-616,,secret,deceased,23,,1980
1395,Danielle Moonstar ,\/Danielle_Moonstar_(Earth-616),Earth-616,,secret,living,388,November,1982
1396,Matthew Murdock ,\/Matthew_Murdock_(Earth-616),Earth-616,,public,living,1338,April,1964
1399,Christopher Powell ,\/Christopher_Powell_(Earth-616),Earth-616,,secret,living,165,March,1991
1400,Desmond Pitt ,\/Desmond_Pitt_(Earth-616),Earth-616,,secret,living,15,January,1974
1402,Laynia Petrovna ,\/Laynia_Petrovna_(Earth-616),Earth-616,,secret,living,84,August,1976
1404,Alison Blaire ,\/Alison_Blaire_(Earth-616),Earth-616,,public,living,353,Feburary,1980
