hero_id,name,urlslug,note_1,note_2,identity,gsm,alive,appearances,first_appearance_year,first_appearance_month
1563,Lisa Snart ,\/wiki\/Lisa_Snart_(New_Earth),New Earth,,,,deceased,44,1977, June
1564,Lobo ,\/wiki\/Lobo_(New_Earth),New Earth,,public,,living,353,1983, June
1565,Clifford Zmeck ,\/wiki\/Clifford_Zmeck_(New_Earth),New Earth,,secret,,living,69,1988, February
1566,Mary Batson ,\/wiki\/Mary_Batson_(New_Earth),New Earth,,secret,,living,168,1995, April
1567,Mordru ,\/wiki\/Mordru_(New_Earth),New Earth,,public,,living,36,1968, June
1568,Scott Free ,\/wiki\/Scott_Free_(New_Earth),New Earth,,secret,,living,268,1971, April
1569,Charles Victor Szasz ,\/wiki\/Charles_Victor_Szasz_(New_Earth),New Earth,,secret,,deceased,128,1967, June
1573,Izaya ,\/wiki\/Izaya_(New_Earth),New Earth,,public,,deceased,132,1971, March
1574,Bernhard Baker ,\/wiki\/Bernhard_Baker_(New_Earth),New Earth,,secret,,living,229,1965, September
1576,Richard Grayson ,\/wiki\/Richard_Grayson_(New_Earth),New Earth,,secret,,living,1237,1940, April
1577,Zatanna Zatara ,\/wiki\/Zatanna_Zatara_(New_Earth),New Earth,,public,,living,439,1964, November
1578,Maxima ,\/wiki\/Maxima_(New_Earth),New Earth,,public,,deceased,124,1989, September
1579,Kimiyo Hoshi ,\/wiki\/Kimiyo_Hoshi_(New_Earth),New Earth,,secret,,living,189,1985, July
1580,Kara Zor-L ,\/wiki\/Kara_Zor-L_(Earth-Two),Earth-Two,,secret,,living,635,1976, February
1581,Patrick O'Brian ,\/wiki\/Patrick_O%27Brian_(New_Earth),New Earth,,secret,,living,,1941, August
1582,Victor Stone ,\/wiki\/Victor_Stone_(New_Earth),New Earth,,public,,living,584,1980, October
1583,Cyrus Gold ,\/wiki\/Cyrus_Gold_(New_Earth),New Earth,,secret,,deceased,174,1944, October
1584,Linda Danvers ,\/wiki\/Linda_Danvers_(New_Earth),New Earth,,secret,,living,123,1996, September
1585,Thaal Sinestro ,\/wiki\/Thaal_Sinestro_(New_Earth),New Earth,,public,,living,237,1961, August
1587,Anita Fite ,\/wiki\/Anita_Fite_(New_Earth),New Earth,,secret,,living,57,2000, January
1589,Boleslaw Uminski ,\/wiki\/Boleslaw_Uminski_(New_Earth),New Earth,,,,living,9,1987, December
1597,Hartley Rathaway ,\/wiki\/Hartley_Rathaway_(New_Earth),New Earth,,secret,Homosexual Characters,living,160,1959, May
1598,Greta Hayes ,\/wiki\/Greta_Hayes_(New_Earth),New Earth,,secret,,living,84,1998, June
1599,Phantom Stranger ,\/wiki\/Phantom_Stranger_(New_Earth),New Earth,,secret,,living,335,1952, September
1603,Rory Regan ,\/wiki\/Rory_Regan_(New_Earth),New Earth,,secret,,living,131,1976, September
1604,Gavin King ,\/wiki\/Gavin_King_(New_Earth),New Earth,,secret,,deceased,25,2001, October
1606,Amanda Waller ,\/wiki\/Amanda_Waller_(New_Earth),New Earth,,public,,living,222,1986, November
1607,Cassandra Sandsmark ,\/wiki\/Cassandra_Sandsmark_(New_Earth),New Earth,,public,,living,423,1996, January
1610,Mia Dearden ,\/wiki\/Mia_Dearden_(New_Earth),New Earth,,secret,,living,109,2001, May
1611,Garfield Logan ,\/wiki\/Garfield_Logan_(New_Earth),New Earth,,public,,living,595,1965, November
1612,Koriand'r ,\/wiki\/Koriand%27r_(New_Earth),New Earth,,secret,,living,,1980, October
1614,Grace Choi ,\/wiki\/Grace_Choi_(New_Earth),New Earth,,secret,Bisexual Characters,living,100,2003, August
1616,Rex Mason ,\/wiki\/Rex_Mason_(New_Earth),New Earth,,secret,,living,470,1965, January
1618,Anissa Pierce ,\/wiki\/Anissa_Pierce_(New_Earth),New Earth,,secret,Homosexual Characters,living,92,2003, August
1619,Jefferson Pierce ,\/wiki\/Jefferson_Pierce_(New_Earth),New Earth,,secret,,living,344,1977, April
1620,Vandar Adg ,\/wiki\/Vandar_Adg_(New_Earth),New Earth,,public,,living,188,1943, December
1623,Noah Kuttler ,\/wiki\/Noah_Kuttler_(New_Earth),New Earth,,public,,living,98,1976, September
1624,Doris Zuel ,\/wiki\/Doris_Zuel_(New_Earth),New Earth,,secret,,living,,1944, June
1625,Carol Ferris ,\/wiki\/Carol_Ferris_(New_Earth),New Earth,,public,,living,319,1959, October
1626,Remoni-Notra ,\/wiki\/Remoni-Notra_(New_Earth),New Earth,,secret,,deceased,29,1976, June
1643,Jade Nguyen ,\/wiki\/Jade_Nguyen_(New_Earth),New Earth,,secret,,living,103,1983, August
1645,Floyd Lawton ,\/wiki\/Floyd_Lawton_(New_Earth),New Earth,,secret,,living,227,1950, June
1646,Albrecht Krieger ,\/wiki\/Albrecht_Krieger_(New_Earth),New Earth,,secret,,living,32,1995, July
1647,Scandal Savage ,\/wiki\/Scandal_Savage_(New_Earth),New Earth,,secret,Homosexual Characters,living,65,2005, July
1648,Thomas Blake ,\/wiki\/Thomas_Blake_(New_Earth),New Earth,,secret,,living,108,1963, January
1658,Margaret Sawyer ,\/wiki\/Margaret_Sawyer_(New_Earth),New Earth,,public,Homosexual Characters,living,180,1987, April
1659,James Gordon ,\/wiki\/James_Gordon_(New_Earth),New Earth,,public,,living,1316,1987, February
1660,Victoria Vale ,\/wiki\/Victoria_Vale_(New_Earth),New Earth,,public,,living,134,1948, October
1662,Harvey Bullock ,\/wiki\/Harvey_Bullock_(New_Earth),New Earth,,public,,living,413,1974, July
1667,Carmine Falcone ,\/wiki\/Carmine_Falcone_(New_Earth),New Earth,,public,,deceased,24,1987, February
1668,Maximillian Zeus ,\/wiki\/Maximillian_Zeus_(New_Earth),New Earth,,public,,living,36,1979, May
1669,Delbert Billings ,\/wiki\/Delbert_Billings_(New_Earth),New Earth,,,,deceased,4,1966, December
1670,Fay Moffit ,\/wiki\/Fay_Moffit_(New_Earth),New Earth,,,,deceased,12,1995, November
1671,Neron ,\/wiki\/Neron_(New_Earth),New Earth,,secret,,living,73,1995, November
1672,Jebediah of Canaan ,\/wiki\/Jebediah_of_Canaan_(New_Earth),New Earth,,secret,,living,67,1987, April
1673,Roman Sionis ,\/wiki\/Roman_Sionis_(New_Earth),New Earth,,public,,deceased,92,1985, August
1674,Julian Day ,\/wiki\/Julian_Day_(New_Earth),New Earth,,secret,,living,32,1958, September
1675,Jonathan Crane ,\/wiki\/Jonathan_Crane_(New_Earth),New Earth,,public,,living,222,1941, September
1676,Victor Zsasz ,\/wiki\/Victor_Zsasz_(New_Earth),New Earth,,public,,living,73,1992, June
1677,Anatoli Knyazev ,\/wiki\/Anatoli_Knyazev_(New_Earth),New Earth,,public,,deceased,38,1988, March
1679,Hector Hall ,\/wiki\/Hector_Hall_(New_Earth),New Earth,,secret,,deceased,165,1983, September
1680,Kent Nelson ,\/wiki\/Kent_Nelson_(New_Earth),New Earth,,secret,,deceased,422,1940, May
1681,Rex Tyler ,\/wiki\/Rex_Tyler_(New_Earth),New Earth,,secret,,living,288,1940, March
1682,Richard Tyler ,\/wiki\/Richard_Tyler_(New_Earth),New Earth,,public,,living,212,1985, November
1683,Matthew Tyler ,\/wiki\/Matthew_Tyler_(New_Earth),New Earth,,public,,deceased,86,1997, November
1684,Charles McNider ,\/wiki\/Charles_McNider_(New_Earth),New Earth,,secret,,deceased,361,1941, April
1685,Pieter Cross ,\/wiki\/Pieter_Cross_(New_Earth),New Earth,,secret,,living,284,1999, February
1686,Elizabeth Chapel ,\/wiki\/Elizabeth_Chapel_(New_Earth),New Earth,,secret,,deceased,43,1985, October
1687,Theodore Knight ,\/wiki\/Theodore_Knight_(New_Earth),New Earth,,secret,,deceased,356,1941, April
1689,Mikaal Tomas ,\/wiki\/Mikaal_Tomas_(New_Earth),New Earth,,secret,Homosexual Characters,living,87,1976, March
1690,Gavyn ,\/wiki\/Gavyn_(New_Earth),New Earth,,secret,,living,44,1980, January
1691,William Payton ,\/wiki\/William_Payton_(New_Earth),New Earth,,secret,,deceased,91,1988, October
1692,David Knight ,\/wiki\/David_Knight_(New_Earth),New Earth,,secret,,deceased,16,1990, September
1693,Jack Knight ,\/wiki\/Jack_Knight_(New_Earth),New Earth,,public,,living,122,1994, September
1695,Farris Knight ,\/wiki\/Farris_Knight_(DC_One_Million),DC One Million,,secret,,living,10,1998, October
1696,Courtney Whitmore ,\/wiki\/Courtney_Whitmore_(New_Earth),New Earth,,secret,,living,305,1999, July
1699,Terrence Sloane ,\/wiki\/Terrence_Sloane_(New_Earth),New Earth,,secret,,deceased,151,1942, January
1700,Michael Holt ,\/wiki\/Michael_Holt_(New_Earth),New Earth,,secret,,living,300,1997, June
1702,Richard Occult ,\/wiki\/Richard_Occult_(New_Earth),New Earth,,secret,,living,125,1935, October
1703,Neal Emerson ,\/wiki\/Neal_Emerson_(New_Earth),New Earth,,secret,,deceased,81,1963, June
1704,John Constantine ,\/wiki\/John_Constantine_(New_Earth),New Earth,,public,Bisexual Characters,living,371,1984, June
1706,Raymond Palmer ,\/wiki\/Raymond_Palmer_(New_Earth),New Earth,,public,,living,706,1961, October
1707,Circe ,\/wiki\/Circe_(New_Earth),New Earth,,public,,living,81,1988, August
1708,Victor Fries ,\/wiki\/Victor_Fries_(New_Earth),New Earth,,secret,,living,143,1959, February
1709,Lucas Carr ,\/wiki\/Lucas_Carr_(New_Earth),New Earth,,public,,living,161,1960, March
1712,G'Nort ,\/wiki\/G%27Nort_(New_Earth),New Earth,,public,,living,,1988, February
1713,James Harper ,\/wiki\/James_Harper_(New_Earth),New Earth,,public,,deceased,94,1942, April
1716,Cynthia Reynolds ,\/wiki\/Cynthia_Reynolds_(New_Earth),New Earth,,secret,,living,134,1984, October
1717,Connor Hawke ,\/wiki\/Connor_Hawke_(New_Earth),New Earth,,secret,,living,174,1994, October
1718,Granny Goodness ,\/wiki\/Granny_Goodness_(New_Earth),New Earth,,public,,deceased,115,1971, June
1722,Starbreaker ,\/wiki\/Starbreaker_(New_Earth),New Earth,,secret,,living,18,1972, February
1723,Beatriz da Costa ,\/wiki\/Beatriz_da_Costa_(New_Earth),New Earth,,secret,,living,325,1982, June
1724,Faith ,\/wiki\/Faith_(New_Earth),New Earth,,secret,,living,39,2002, October
1781,Sharon Vance ,\/wiki\/Sharon_Vance_(New_Earth),New Earth,,secret,,deceased,11,1999, October
1783,Ahti ,\/wiki\/Ahti_(New_Earth),New Earth,,secret,,living,19,1992, September
1784,Jinx ,\/wiki\/Jinx_(New_Earth),New Earth,,secret,,living,30,1985, August
1785,Joseph Wilson ,\/wiki\/Joseph_Wilson_(New_Earth),New Earth,,secret,,living,229,1984, May
1788,Tatsu Yamashiro ,\/wiki\/Tatsu_Yamashiro_(New_Earth),New Earth,,secret,,living,252,1983, July
1789,Eclipso ,\/wiki\/Eclipso_(New_Earth),New Earth,,secret,,living,131,1963, July
1790,Brainiac 8 ,\/wiki\/Brainiac_8_(New_Earth),New Earth,,secret,,deceased,38,2003, July
1791,Nimue Inwudu ,\/wiki\/Nimue_Inwudu_(New_Earth),New Earth,,public,,living,121,1978, February
1792,Donald Richards ,\/wiki\/Donald_Richards_(New_Earth),New Earth,,secret,,deceased,109,1942, March
1793,Paul Kirk II ,\/wiki\/Paul_Kirk_II_(New_Earth),New Earth,,secret,,deceased,57,1942, April
1794,Mark Shaw ,\/wiki\/Mark_Shaw_(New_Earth),New Earth,,public,,living,81,1975, August
1795,Chase Lawler ,\/wiki\/Chase_Lawler_(New_Earth),New Earth,,secret,,deceased,16,1994, October
1796,Kirk DePaul ,\/wiki\/Kirk_DePaul_(New_Earth),New Earth,,public,,deceased,23,2002, February
1797,Katherine Spencer ,\/wiki\/Katherine_Spencer_(New_Earth),New Earth,,secret,,living,98,2004, October
1798,Uncle Sam ,\/wiki\/Uncle_Sam_(New_Earth),New Earth,,secret,,living,162,1940, July
1799,Gerard Shugel ,\/wiki\/Gerard_Shugel_(New_Earth),New Earth,,secret,,living,6,2009, July
1800,Lee Travis ,\/wiki\/Lee_Travis_(New_Earth),New Earth,,secret,,deceased,139,1938, October
1802,Jill Carlyle ,\/wiki\/Jill_Carlyle_(New_Earth),New Earth,,secret,,living,15,2000, April
1804,Yalan Gur ,\/wiki\/Yalan_Gur_(New_Earth),New Earth,,,,deceased,3,1991, December
1825,Kilowog ,\/wiki\/Kilowog_(New_Earth),New Earth,,public,,living,299,1986, June
1826,Abin Sur ,\/wiki\/Abin_Sur_(New_Earth),New Earth,,public,,deceased,92,1959, October
1829,Adam Strange ,\/wiki\/Adam_Strange_(New_Earth),New Earth,,public,,living,177,1958, December
1830,Dinah Drake ,\/wiki\/Dinah_Drake_(New_Earth),New Earth,,secret,,deceased,131,1947, August
1833,Daniel Garrett ,\/wiki\/Daniel_Garrett_(New_Earth),New Earth,,secret,,deceased,30,1986, May
1834,William Walker ,\/wiki\/William_Walker_(New_Earth),New Earth,,secret,,deceased,42,1971, July
1835,Benjamin Turner ,\/wiki\/Benjamin_Turner_(New_Earth),New Earth,,secret,,living,153,1975, May
1836,David Cain ,\/wiki\/David_Cain_(New_Earth),New Earth,,public,,living,30,1999, July
1837,Nathan Craig Jones ,\/wiki\/Nathan_Craig_Jones_(New_Earth),New Earth,,secret,,living,15,2001, March
1839,Boston Brand ,\/wiki\/Boston_Brand_(New_Earth),New Earth,,secret,,deceased,262,1967, October
1840,Arthur Light ,\/wiki\/Arthur_Light_(New_Earth),New Earth,,public,,deceased,142,1962, June
1841,Dolphin ,\/wiki\/Dolphin_(New_Earth),New Earth,,,,deceased,115,1968, December
1842,Richard Drakunovski ,\/wiki\/Richard_Drakunovski_(New_Earth),New Earth,,public,,living,45,1975, May
1843,Eradicator ,\/wiki\/Eradicator_(New_Earth),New Earth,,public,,deceased,126,1989, May
1845,Jason Woodrue ,\/wiki\/Jason_Woodrue_(New_Earth),New Earth,,public,,living,113,1962, July
1846,Ganthet ,\/wiki\/Ganthet_(New_Earth),New Earth,,public,,living,132,1992,
1847,Wade Eiling ,\/wiki\/Wade_Eiling_(New_Earth),New Earth,,public,,living,95,1987, March
1848,Brion Markov ,\/wiki\/Brion_Markov_(New_Earth),New Earth,,secret,,living,245,1983, July
1849,Carter Hall ,\/wiki\/Carter_Hall_(New_Earth),New Earth,,secret,,living,803,1940, January
1850,Henry Henshaw ,\/wiki\/Henry_Henshaw_(New_Earth),New Earth,,secret,,living,96,1990, May
1851,Jeffrey Franklin Burr ,\/wiki\/Jeffrey_Franklin_Burr_(New_Earth),New Earth,,secret,,deceased,97,1976, March
1852,Krona ,\/wiki\/Krona_(New_Earth),New Earth,,public,,deceased,66,1965, October
1853,Solis ,\/wiki\/Solis_(New_Earth),New Earth,,secret,,living,138,1971, March
1854,Paul Booker ,\/wiki\/Paul_Booker_(New_Earth),New Earth,,secret,,deceased,79,1966, March
1855,Manchester Black ,\/wiki\/Manchester_Black_(New_Earth),New Earth,,public,,deceased,19,2001, March
1856,Manitou Raven ,\/wiki\/Manitou_Raven_(New_Earth),New Earth,,secret,,deceased,41,2002, July
1858,Metron ,\/wiki\/Metron_(New_Earth),New Earth,,secret,,deceased,161,1971, March
1859,Mercy Graves ,\/wiki\/Mercy_Graves_(New_Earth),New Earth,,public,,living,67,1999, August
1861,Shilo Norman ,\/wiki\/Shilo_Norman_(New_Earth),New Earth,,public,,living,39,1973, September
1862,Todd Rice ,\/wiki\/Todd_Rice_(New_Earth),New Earth,,public,Homosexual Characters,living,208,1983, September
1863,Raker Qarrigat ,\/wiki\/Raker_Qarrigat_(New_Earth),New Earth,,public,,living,13,2000, August
1864,Rachel Roth ,\/wiki\/Rachel_Roth_(New_Earth),New Earth,,secret,,living,399,1980, October
1865,Raymond Terrill ,\/wiki\/Raymond_Terrill_(New_Earth),New Earth,,secret,,living,192,1992, February
1866,Sanderson Hawkins ,\/wiki\/Sanderson_Hawkins_(New_Earth),New Earth,,secret,,living,241,1941, December
1868,James Corrigan ,\/wiki\/James_Corrigan_(New_Earth),New Earth,,secret,,deceased,214,1940, February
1869,Natasha Irons ,\/wiki\/Natasha_Irons_(New_Earth),New Earth,,public,,living,99,1994, February
1870,Kara Zor-El ,\/wiki\/Kara_Zor-El_(New_Earth),New Earth,,secret,,living,297,2004, May
1871,Joshua Saunders ,\/wiki\/Joshua_Saunders_(New_Earth),New Earth,,,,deceased,32,1996, June
1872,Garth ,\/wiki\/Garth_(New_Earth),New Earth,,public,,deceased,487,1960, February
1873,Turtle ,\/wiki\/Turtle_(New_Earth),New Earth,,secret,,living,18,1945, December
1876,Timothy Hunter ,\/wiki\/Timothy_Hunter_(New_Earth),New Earth,,public,,living,89,1990, December
1878,Matthew Ryder ,\/wiki\/Matthew_Ryder_(Armageddon_2001),Armageddon 2001,,secret,,deceased,26,1991, May
1879,Rebecca Carstairs ,\/wiki\/Rebecca_Carstairs_(New_Earth),New Earth,,public,,living,27,2002, February
1880,Zauriel ,\/wiki\/Zauriel_(New_Earth),New Earth,,public,,living,108,1997, June
1881,Artemis of Bana-Mighdall ,\/wiki\/Artemis_of_Bana-Mighdall_(New_Earth),New Earth,,public,,living,141,1994, September
1885,Jonathan L. Thunder ,\/wiki\/Jonathan_L._Thunder_(New_Earth),New Earth,,secret,,living,282,1940, January
1889,Sebastian Faust ,\/wiki\/Sebastian_Faust_(New_Earth),New Earth,,public,,living,55,1993, November
1891,Jakeem Williams ,\/wiki\/Jakeem_Williams_(New_Earth),New Earth,,secret,,living,79,,
1892,Lori Zechlin ,\/wiki\/Lori_Zechlin_(New_Earth),New Earth,,secret,,living,52,2005, January
1894,Kendra Saunders ,\/wiki\/Kendra_Saunders_(New_Earth),New Earth,,secret,,deceased,301,1999, August
1895,Shayera Thal ,\/wiki\/Shayera_Thal_(New_Earth),New Earth,,secret,,deceased,85,1989, August
1896,Hope Taya ,\/wiki\/Hope_Taya_(New_Earth),New Earth,,public,,living,28,1999, December
1897,Tora Olafsdotter ,\/wiki\/Tora_Olafsdotter_(New_Earth),New Earth,,public,,living,225,1988, April
1898,Imperiex-Prime ,\/wiki\/Imperiex-Prime_(New_Earth),New Earth,,secret,,deceased,12,2000, February
1900,Jonathan Chambers ,\/wiki\/Jonathan_Chambers_(New_Earth),New Earth,,secret,,deceased,239,1941, September
1902,Orm Marius ,\/wiki\/Orm_Marius_(New_Earth),New Earth,,secret,,living,92,1966, October
1903,Despero ,\/wiki\/Despero_(New_Earth),New Earth,,public,,living,98,1960, November
1904,Katar Hol ,\/wiki\/Katar_Hol_(New_Earth),New Earth,,secret,,living,125,1989, August
1905,Barbara Gordon ,\/wiki\/Barbara_Gordon_(New_Earth),New Earth,,secret,,living,951,1967, January
1906,Parallax ,\/wiki\/Parallax_(New_Earth),New Earth,,secret,,living,84,1994, March
1909,Daniel Cassidy ,\/wiki\/Daniel_Cassidy_(New_Earth),New Earth,,secret,,living,176,1984, June
1914,Lyla Michaels ,\/wiki\/Lyla_Michaels_(New_Earth),New Earth,,public,,deceased,105,1982, July
1920,Sebastian Ballesteros ,\/wiki\/Sebastian_Ballesteros_(New_Earth),New Earth,,secret,,deceased,10,2001, July
1921,Felix Faust ,\/wiki\/Felix_Faust_(New_Earth),New Earth,,secret,,living,95,1962, March
1922,Danton Black ,\/wiki\/Danton_Black_(New_Earth),New Earth,,secret,,living,53,1978, March
1923,James Craddock ,\/wiki\/James_Craddock_(New_Earth),New Earth,,public,,deceased,52,1947, October
1924,Werner Vertigo ,\/wiki\/Werner_Vertigo_(New_Earth),New Earth,,secret,,living,104,1978, July
1927,Winslow Schott ,\/wiki\/Winslow_Schott_(New_Earth),New Earth,,public,,living,74,1943, September
1928,Hiro Okamura ,\/wiki\/Hiro_Okamura_(New_Earth),New Earth,,public,,living,8,2002, February
1929,Albert Michaels ,\/wiki\/Albert_Michaels_(New_Earth),New Earth,,secret,,living,23,1978, May
